"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demodand, Kelubar",Medium,Fiend,,Neutral Evil,11,,x,,,,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,136,,,Young Deep Dragon,Large,Dragon,,Neutral Evil,5,,,,,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,175,,,,,,,,,,,
"Demodand, Shator",Large,Fiend,,Neutral Evil,15,,x,,,,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,137,,,Deep Dragon Wyrmling,Medium,Dragon,,Neutral Evil,1,,,,,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,175,,,,,,,,,,,
Demogorgon,Huge,Fiend,demon,Chaotic Evil,26,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,90,,,Dracohydra,Huge,Monstrosity,,Chaotic Evil,11,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,176,,,,,,,,,,,
Demogorgon,Huge,Fiend,"Demon, Demon Lord",Chaotic Evil,26,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen's Tome of Foes,144,Out of the Abyss 236,,Draconian Dreadnought,Large,Monstrosity,,Any,4,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,177,,,,,,,,,,,
"Demon Lord of Apes, Mechuiti",Gargantuan,Fiend,"Demon, Demon Lord",Chaotic Evil,27,,,x,x,x,,,,,,,,,,,,,,ø,Tome of Beasts,88,,,Draconian Footsoldier,Medium,Monstrosity,,Any,1/2,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,178,,,,,,,,,,,
Demon Lord of Bats and Fire Camazotz,Large,Fiend,"Demon, Demon Lord",Chaotic Evil,22,,x,x,,x,,,,,,,,,,,,,,ø,Tome of Beasts,85,,,Draconian Infiltrator,Medium,Monstrosity,,Any,3,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,178,,,,,,,,,,,
Demon Lord of Cockroaches Akyishigal,Large,Fiend,"Demon, Demon Lord",Chaotic Evil,12,,x,x,,x,,,,,,,,,,,,,,ø,Tome of Beasts,82,,,Draconian Mage,Medium,Monstrosity,,Any,2,,x,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,179,,,,,,,,,,,
Demon Lord of Night Alquam,Huge,Fiend,"Demon, Demon Lord",Chaotic Evil,21,,,x,x,x,,,,,,,,,,,,,,ø,Tome of Beasts,84,,,Draconian Mastermind,Medium,Monstrosity,,Any,6,,x,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,180,,,,,,,,,,,
Demon Lord of the Devouring Worm Qorgeth,Gargantuan,Fiend,"Demon, Demon Lord",Chaotic Evil,23,,x,x,x,x,,,,,,,,,,,,,ø,,Tome of Beasts,90,,,Draconic Shard,Huge,Undead,,Neutral,17,,,x,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,181,,,,,,,,,,,
Demonfeed Spider,Large,Fiend,,Not Provided,8,,,,,,,,,,,,,,,,ø,,,,Tal'Dorei Campaign Setting Reborn,237,,,Dragonblood Ooze,Large,Ooze,,Unaligned,5,,,,,,,,,,,,,,,,,ø,ø,,Fizban's Treasury of Dragons,182,,,,,,,,,,,
Demonfeed Spiderling,Medium,Fiend,,Not Provided,1,,,,,,,,,,,,,,,,ø,,,,Tal'Dorei Campaign Setting Reborn,237,,,Dragonbone Golem,Large,Construct,,Unaligned,11,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,183,,,,,,,,,,,
Demonic Knight,Medium,Fiend,,Chaotic Evil,5,,x,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,82,,,Dragonborn of Bahamut,Medium,Humanoid,,Lawful Good,8,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,184,,,,,,,,,,,
Demos Magen,Medium,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,300,,,Dragonborn of Sardior,Medium,Humanoid,,Neutral,6,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,185,,,,,,,,,,,
Denizen of Leng,Medium,Aberration,,Chaotic Evil,5,,x,,,,,,,,x,x,x,x,x,,,,,,Fifth Edition Foes,83,,,Dragonborn of Tiamat,Medium,Humanoid,,Chaotic Evil,7,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,185,,,,,,,,,,,
Derendian Moth Abomination,Huge,Monstrosity,,Neutral Evil,12,,,x,,,,,,,,x,,,,,,,,,Tome of Beasts 2,96,,,Dragonflesh Grafter,Large,Monstrosity,,Neutral Evil,3,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,186,,,,,,,,,,,
Derro,Small,Aberration,,Chaotic Evil,1/4,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,91,,,Dragonflesh Abomination,Huge,Monstrosity,,Neutral Evil,6,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,187,,,,,,,,,,,
Derro,Small,Humanoid,Derro,Chaotic Evil,1/4,,,,,,,,,,,,,,x,,x,,,ø,Mordenkainen's Tome of Foes,158,Out of the Abyss 224,,Dragon Blessed,Medium,Humanoid,,Any,5,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,188,,,,,,,,,,,
Derro Explorer,Small,Humanoid,Derro,Any Non-Good,2,,,,,,,,,,,,,,,,x,,,,Tome of Beasts 2,97,,,Dragon Chosen,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,189,,,,,,,,,,,
Derro Fetal Savant,Tiny,Humanoid,,Chaotic Evil,4,,,,,,,,,,,,,,,,ø,,,,Tome of Beasts,92,,,Dragon Speaker,Small,Humanoid,,Any,2,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,189,,,,,,,,,,,
Derro Guard,Small,Humanoid,Derro,Any Non-Good,1/2,,,,,,,,,,,,,,,,x,,,,Tome of Beasts 2,97,,,Dragonnel,Large,Dragon,,Neutral,2,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,190,,,,,,,,,,,
Derro Savant,Small,Aberration,sorcerer,Chaotic Evil,3,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,92,,,Ancient Dragon Turtle,Gargantuan,Dragon,,Neutral,24,,,x,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,191,,,,,,,,,,,
Derro Savant,Small,Humanoid,Derro,Chaotic Evil,3,,x,,,,,,,,,,,,,,,,,,Out of the Abyss,225,,,Young Dragon Turtle,Huge,Dragon,,Neutral,10,,,,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,192,,,,,,,,,,,
Derro Servant,Small,Humanoid,Derro,Chaotic Evil,3,,x,,,,,,,,,,,,x,,x,,,ø,Mordenkainen's Tome of Foes,159,,,Dragon Turtle Wyrmling,Large,Dragon,,Neutral,4,,,,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,192,,,,,,,,,,,
Derro Shadow Antipaladin,Small,Humanoid,,Chaotic Evil,5,,x,,,,,,,,,,,,,,ø,,,,Tome of Beasts,93,,,Egg Hunter Hatchling,Tiny,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,193,,,,,,,,,,,
Derro Shadowseeker,Small,Humanoid,Derro,Chaotic Evil,6,,,,,,,,,,,,,,,,x,,,,Tome of Beasts 2,98,,,Egg Hunter Adult,Small,Monstrosity,,Unaligned,5,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,193,,,,,,,,,,,
Desert Giant,Huge,Giant,,Neutral,9,,,,,,,,,,ø,,,,,,,,,,Tome of Beasts,222,,,Elder Brain Dragon,Gargantuan,Aberration,,Lawful Evil,22,,,x,,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,194,,,,,,,,,,,
Desert Troll,Large,Giant,,Chaotic Evil,6,,,,,,,,,,x,,,,,,,,,,Creature Codex,356,,,Ancient Emerald Dragon,Gargantuan,Dragon,Gem,Lawful Neutral,21,,x,x,x,,,,,,,,,,ø,,ø,,,,Fizban's Treasury of Dragons,195,,,,,,,,,,,
Despair,Large,Fiend,,Neutral Evil,15,,,,,x,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,130,,,Adult Emerald Dragon,Huge,Dragon,Gem,Lawful Neutral,14,,x,x,x,,,,,,,,,,ø,,ø,,,,Fizban's Treasury of Dragons,196,,,,,,,,,,,
Deva,Medium,Celestial,,Lawful Good,10,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,16,,,Young Emerald Dragon,Large,Dragon,Gem,Lawful Neutral,8,,x,,,,,,,,,,,,ø,,ø,,,,Fizban's Treasury of Dragons,197,,,,,,,,,,,
Devil Bough,Huge,Fiend,,Neutral Evil,6,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,302,,,Emerald Dragon Wyrmling,Medium,Dragon,Gem,Lawful Neutral,2,,x,,,,,,,,,,,,ø,,ø,,,,Fizban's Treasury of Dragons,197,,,,,,,,,,,
Devil Shark,Gargantuan,Monstrosity,,Neutral Evil,13,,,,,,,,,,,,,,,,,x,,,Creature Codex,98,,,Eyedrake,Large,Aberration,,Lawful Evil,8,,,,,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,199,,,,,,,,,,,
Devilbound Gnomish Prince,Small,Humanoid,,Any Evil,9,,x,,,,,,,ø,,ø,ø,ø,,,,,ø,,Tome of Beasts,420,,,Gem Greatwyrm,Gargantuan,Dragon,Gem,Neutral,26,,x,x,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,201,,,,,,,,,,,
Devkarin Lich,Medium,Undead,,Neutral Evil,14,,x,x,,,,,,,,,,,,ø,ø,,ø,,Guildmaster's Guide to Ravnica,198,,,Gem Stalker,Large,Monstrosity,,Neutral,5,,,,,,,,,,,,,,,ø,,,,,Fizban's Treasury of Dragons,202,,,,,,,,,,,
Devourer,Large,Undead,,Chaotic Evil,13,,,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,93,Volo's Guide to Monsters 138,,Ghost Dragon,Huge,Undead,,Any,17,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,203,,,,,,,,,,,
Dhampir,Medium,Humanoid,Dhampir,Any,1,,,,,,,,,,,,,,,,,,x,,Creature Codex,106,,,Hoard Mimic,Huge,Monstrosity,,Neutral,8,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,204,,,,,,,,,,,
Dhampir Commander,Medium,Humanoid,Dhampir,Any,7,,,,,,,,,,,,,,,,,,x,,Creature Codex,107,,,Hoard Scarab,Tiny,Monstrosity,,Unaligned,1/8,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,205,,,,,,,,,,,
Dhergoloth,Medium,Fiend,yugoloth,Neutral Evil,7,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,94,,,Swarm of Hoard Scarabs,Medium,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,205,,,,,,,,,,,
Dhergoloth,Medium,Fiend,Yugoloth,Neutral Evil,7,,x,,,,,,,,,,,,,,x,,,ø,Mordenkainen's Tome of Foes,248,,,Hollow Dragon,Huge,Undead,,Any,18,,,x,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,206,,,,,,,,,,,
Dhole Adult,Gargantuan,Monstrosity,,Unaligned,25,,,x,x,,,,,,,,,,,,x,,,,Sandy Petersen's Cthulhu Mythos,302,,,Liondrake,Large,Monstrosity,,Neutral,7,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,207,,,,,,,,,,,
Dhole Hatchling,Huge,Monstrosity,,Unaligned,16,,,,,,,,,,,,,,,,x,,,,Sandy Petersen's Cthulhu Mythos,301,,,Metallic Greatwyrm,Gargantuan,Dragon,Metallic,Lawful Good,28,,,x,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,209,,,,,,,,,,,
Dimenshional Shambler,Large,Aberration,,Neutral Evil,9,,,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,107,,,Metallic Peacekeeper,Medium,Construct,,Neutral Good,4,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,210,,,,,,,,,,,
Dimensional Shambler,Large,Fiend,,Neutral Evil,10,,,,,,,,,,,,,,,,,,,x,Sandy Petersen's Cthulhu Mythos,305,,,Metallic Warbler,Tiny,Construct,,Neutral Good,1/4,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,210,,,,,,,,,,,
Dimetrodon,Medium,Beast,dinosaur,Unaligned,1/4,,,,,,,,,x,,,,,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,95,"Volo's Guide to Monsters 139, Tomb of Annihilation 217",,Ancient Moonstone Dragon,Gargantuan,Dragon,,Neutral,21,,x,x,x,,,,,,,ø,ø,,ø,,,,,ø,Fizban's Treasury of Dragons,211,,,,,,,,,,,
Diminution Drake,Medium,Dragon,,Neutral Evil,5,,,,,,,,,,,x,,x,,,,,,,Tome of Beasts 2,121,,,Adult Moonstone Dragon,Huge,Dragon,,Neutral,15,,x,x,x,,,,,,,ø,ø,,ø,,,,,ø,Fizban's Treasury of Dragons,212,,,,,,,,,,,
Dipsa,Tiny,Ooze,,Unaligned,1/4,,,,,,,,,,,,,,,ø,ø,,,,Tome of Beasts,118,,,Young Moonstone Dragon,Large,Dragon,,Neutral,8,,x,,,,,,,,,ø,ø,,ø,,,,,ø,Fizban's Treasury of Dragons,213,,,,,,,,,,,
Dire Anglerfish,Huge,Beast,,Unaligned,5,,,,,,,,,,,,,,,,,ø,,,Monster a Day Compendium 2.0,31,,,Moonstone Dragon Wyrmling,Medium,Dragon,,Neutral,2,,,,,,,,,,,ø,ø,,ø,,,,,ø,Fizban's Treasury of Dragons,213,,,,,,,,,,,
Dire Corby,Medium,Monstrosity,,Neutral Evil,1/2,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,84,,,Ancient Sapphire Dragon,Gargantuan,Dragon,Gem,Lawful Neutral,22,,x,x,x,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,214,,,,,,,,,,,
Dire Corby,Medium,Humanoid,Dire Corby,Neutral Evil,1/2,,,,,,,,,,,,,,,,x,,,,Mordenkainen's Fiendish Folio vol. 1,7,,,Adult Sapphire Dragon,Huge,Dragon,Gem,Lawful Neutral,15,,x,x,x,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,215,,,,,,,,,,,
Dire Troll,Huge,Giant,,Chaotic Evil,13,,,,,,,,x,,,x,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,246,Mordenkainen's Tome of Foes 243,,Young Sapphire Dragon,Large,Dragon,Gem,Lawful Neutral,9,,x,,,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,216,,,,,,,,,,,
Dire Wolf,Large,Beast,,Unaligned,1,,,,,,,,,,,x,,x,,,,,,,Monster Manual,321,Player's Handbook 305,,Sapphire Dragon Wyrmling,Medium,Dragon,Gem,Lawful Neutral,3,,x,,,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,216,,,,,,,,,,,
Dirt-Under-Nails,Medium,Plant,,Neutral Evil,7,,x,,,x,,,,,,,,,,,,,,,Return to the Glory,32,,,Ancient Sea Serpent,Gargantuan,Dragon,,Neutral,14,,,x,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,219,,,,,,,,,,,
Displacer Beast,Large,Monstrosity,,Lawful Neutral,3,,,,,,,,,,,x,,,,,,,,,Monster Manual,81,,,Young Sea Serpent,Huge,Dragon,,Neutral,8,,,,,,,,,,,,,,,,,ø,,,Fizban's Treasury of Dragons,219,,,,,,,,,,,
Displacer Beast Kitten,Small,Monstrosity,,Unaligned,1/8,,,,,,,,,,,x,,,,,,,,,The Wild Beyond The Witchlight,108,,,Ancient Topaz Dragon,Gargantuan,Dragon,Gem,Chaotic Neutral,20,,x,x,x,,,,,ø,,,,,,ø,,ø,,,Fizban's Treasury of Dragons,220,,,,,,,,,,,
Dissimortuum,Medium,Undead,,Chaotic Evil,7,,,,,,,,,,,,,,,,,,ø,,Tome of Beasts,119,,,Adult Topaz Dragon,Huge,Dragon,Gem,Chaotic Neutral,13,,x,x,x,,,,,ø,,,,,,ø,,ø,,,Fizban's Treasury of Dragons,221,,,,,,,,,,,
Diviner,Medium,Humanoid,Any Race,Any,8,,x,,,,,,,,,,,,,,,,x,,Volo's Guide to Monsters,213,,,Young Topaz Dragon,Large,Dragon,Gem,Chaotic Neutral,7,,x,,,,,,,ø,,,,,,ø,,ø,,,Fizban's Treasury of Dragons,223,,,,,,,,,,,
Diviner Wizard,Medium,Humanoid,,Any,8,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,261,,,Topaz Dragon Wyrmling,Medium,Dragon,Gem,Chaotic Neutral,2,,x,,,,,,,ø,,,,,,ø,,ø,,,Fizban's Treasury of Dragons,223,,,,,,,,,,,
Djinni,Large,Elemental,,Chaotic Good,11,,x,,,,,,,x,,,,,,,,,,,Monster Manual,144,,,Bullywug Croaker,Medium,Humanoid,Bullywug,Neutral Evil,2,,,,,,,,,,,,,,,x,,,,,Ghosts of Saltmarsh,232,,,,,,,,,,,
Dogmole,Medium,Beast,,Neutral,1,,,,,,,,,,,,,,ø,,ø,,,,Tome of Beasts,120,,,Bullywug Royal,Medium,Humanoid,Bullywug,Neutral Evil,3,,,,,,,,,,,,,,,x,,,,,Ghosts of Saltmarsh,232,The Wild Beyond The Witchlight 231,,,,,,,,,,
Dogmole Juggernaut,Large,Monstrosity,,Neutral,5,,,,,,,,,,,,,,ø,,ø,,,,Tome of Beasts,121,,,Drowned Ascetic,Medium,Undead,,Chaotic Evil,3,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,233,,,,,,,,,,,
Dolgaunt,Medium,Aberration,,Lawful Evil,3,,,,,,,,,,,,,,,,x,,,x,Eberron: Rising from the Last War,290,,,Drowned Assassin,Medium,Undead,,Chaotic Evil,4,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,234,,,,,,,,,,,
Dolgrim,Small,Aberration,,Chaotic Evil,1/2,,,,,,,,,,,,,,,,x,,,x,Eberron: Rising from the Last War,291,,,Drowned Blade,Medium,Undead,,Chaotic Evil,2,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,235,,,,,,,,,,,
Dolphin,Medium,Beast,,Unaligned,1/8,,,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,97,Volo's Guide to Monsters 208,,Drowned Master,Medium,Undead,,Chaotic Evil,9,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,235,,,,,,,,,,,
Dolphin Delighter,Medium,Fey,,Chaotic Good,3,,,,,,,,,x,,,,,,,,x,,,Mordenkainen Presents: Monsters of the Multiverse,97,,,Fathomer,Medium,Humanoid,Human,Neutral Evil,2,,x,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,236,Princes of the Apocalypse 207,,,,,,,,,,
Domovoi,Medium,Fey,,Chaotic Neutral,4,,x,,,,,,,,,ø,,,,,ø,,ø,,Tome of Beasts,122,,,Giant Coral Snake,Large,Beast,,Unaligned,4,,,,,,,,,ø,,,,,,,ø,x,,,Ghosts of Saltmarsh,236,,,,,,,,,,,
Donaar Blit'zen,Medium,Humanoid,Dragonborn,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,201,,,Giant Sea Eel,Large,Beast,,Unaligned,1/2,,,,,,,,,,,,,,,,,x,,,Ghosts of Saltmarsh,237,,,,,,,,,,,
Doom Golem,Large,Construct,,Unaligned,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,197,,,Harpy Matriarch,Medium,Monstrosity,,Chaotic Evil,5,,,,,,,,,x,,,,,,,,,,,Ghosts of Saltmarsh,237,,,,,,,,,,,
Doombat,Large,Monstrosity,,Unaligned,3,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,23,,,Juvenile Kraken,Huge,Monstrosity,Titan,Chaotic Evil,14,,,x,,,,,,,,,,,,,,x,,,Ghosts of Saltmarsh,238,,,,,,,,,,,
Doomspeaker,Medium,Humanoid,Any Race,Chaotic Evil,6,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,399,,,Koalinth,Medium,Humanoid,Goblinoid,Lawful Evil,1/2,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,238,,,,,,,,,,,
Doomwake Giant,Huge,Giant,,Lawful Evil,11,,,,,,,,,,,,,,,,,,,,Mythic Odysseys of Theros,224,,,Koalinth Sergeant,Medium,Humanoid,Goblinoid,Lawful Evil,2,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,239,,,,,,,,,,,
Doppelganger,Medium,Monstrosity,Shapechanger,Neutral,3,,,,,,,,,,,,,,,,x,,x,,Monster Manual,82,"Infernal Machine Rebuild 63, Lost Mines of Phandelver 56",,Kysh,Medium,Humanoid,Triton,Lawful Good,1,,x,,,x,,,,,,,,,,,,,,,Ghosts of Saltmarsh,240,,,,,,,,,,,
Doppelrat,Tiny,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,ø,,ø,,Tome of Beasts,123,,,Living Iron Statue,Medium,Construct,,Unaligned,5,,,,,,,,,,,,,,,,,,,,Ghosts of Saltmarsh,241,,,,,,,,,,,
Dorreq,Medium,Aberration,,Neutral Evil,4,,x,,,,,,,ø,ø,,ø,ø,ø,ø,ø,,,,Tome of Beasts,124,,,Lizardfolk Commoner,Medium,Humanoid,Lizardfolk,Neutral,1/4,,,,,,,,,,,x,,,,x,,,,,Ghosts of Saltmarsh,241,,,,,,,,,,,
Doty X,Medium,Construct,,Not Provided,6,,,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,272,,,Lizardfolk Render,Large,Humanoid,Lizardfolk,Neutral,3,,,,,,,,,,,x,,,,x,,,,,Ghosts of Saltmarsh,241,Infernal Machine Rebuild 71,,,,,,,,,,
Dracoform Eremite Symbiont,Large,Aberration,,Chaotic Evil,12,,,,,,,,,,,,,,,,,,,x,Sandy Petersen's Cthulhu Mythos,310,,,Lizardfolk Scaleshield,Medium,Humanoid,Lizardfolk,Neutral,1,,,,,,,,,,,x,,,,x,,,,,Ghosts of Saltmarsh,242,,,,,,,,,,,
Dracoform-Bound Eremite,Large,Aberration,,Chaotic Evil,19,,x,x,,,,,,,,,,,,,,,,,Sandy Petersen's Cthulhu Mythos,311,,,Lizardfolk Subchief,Medium,Humanoid,Lizardfolk,Neutral,3,,x,,,,,,,,,x,,,,x,,,,,Ghosts of Saltmarsh,242,,,,,,,,,,,
Dracohydra,Huge,Monstrosity,,Chaotic Evil,11,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,176,,,Locathah,Medium,Humanoid,Locathah,Neutral,1/2,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,243,Infernal Machine Rebuild 72,,,,,,,,,,
Draconian Dreadnought,Large,Monstrosity,,Any,4,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,177,,,Locathah Hunter,Medium,Humanoid,Locathah,Neutral,2,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,243,,,,,,,,,,,
Draconian Footsoldier,Medium,Monstrosity,,Any,1/2,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,178,,,Maw of Sekolah,Huge,Monstrosity,,Neutral Evil,7,,,x,,x,,,,,,,,,,,,x,,,Ghosts of Saltmarsh,244,,,,,,,,,,,
Draconian Infiltrator,Medium,Monstrosity,,Any,3,,,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,178,,,Merfolk Salvager,Medium,Humanoid,Merfolk,Neutral,1,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,244,,,,,,,,,,,
Draconian Mage,Medium,Monstrosity,,Any,2,,x,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,179,,,Minotaur Living Crystal Statue,Large,Construct,,Unaligned,6,,,,,x,,,,,,,,,,,,,,,Ghosts of Saltmarsh,245,,,,,,,,,,,
Draconian Mastermind,Medium,Monstrosity,,Any,6,,x,,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,180,,,Monstrous Peryton,Large,Monstrosity,,Chaotic Evil,11,,,x,,,,,,x,,,,x,x,,,,,,Ghosts of Saltmarsh,245,,,,,,,,,,,
Draconic Amalgam,Gargantuan,Dragon,,Unaligned,12,,,,,,,,,,,,,,,,x,,,,Sandy Petersen's Cthulhu Mythos,402,,,Mr. Dory,Medium,Aberration,,Chaotic Evil,10,,x,,,x,,,,,,,,,,,,,,,Ghosts of Saltmarsh,246,,,,,,,,,,,
Draconic Shard,Huge,Undead,,Neutral,17,,,x,,,,,,,,,,,,,,,,,Fizban's Treasury of Dragons,181,,,Oceanus (Sea Elf),Medium,Humanoid,Elf,Neutral Good,1/2,,,,,x,,,,,,,,,,,,,,,Ghosts of Saltmarsh,246,,,,,,,,,,,
Dracotaur,Large,Dragon,,Chaotic Neutral,6,,,,,,,,,,,,x,x,,,,,,,Creature Codex,110,,,Pirate Bosun,Medium,Humanoid,Any Race,Any,1/2,,,,,,,,,ø,,,,,,,,ø,ø,,Ghosts of Saltmarsh,247,,,,,,,,,,,
Draegloth,Small,Fiend,Demon,Neutral Evil,4,,x,,,,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,32,,,Pirate Captain,Medium,Humanoid,Any Race,Any,2,,,,,,,,,ø,,,,,,,,ø,ø,,Ghosts of Saltmarsh,247,,,,,,,,,,,
Draegloth,Large,Fiend,demon,Chaotic Evil,7,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,98,,,Pirate Deck Wizard,Medium,Humanoid,Any Race,Any,1,,x,,,,,,,ø,,,,,,,,ø,ø,,Ghosts of Saltmarsh,248,,,,,,,,,,,
Draegloth,Large,Fiend,Demon,Chaotic Evil,7,,x,,,,,,,,,,,,,,x,,,,Volo's Guide to Monsters,141,,,Pirate First Mate,Medium,Humanoid,Any Race,Any,1,,,,,,,,,ø,,,,,,,,ø,ø,,Ghosts of Saltmarsh,248,,,,,,,,,,,
Draft Horse,Large,Beast,,Unaligned,1/4,,,,,,,,,,,,,,,,,,x,,Monster Manual,321,,,Rip Tide Priest,Medium,Humanoid,Human,Neutral Evil,2,,x,,,,,,,ø,,,,,,,,ø,ø,,Ghosts of Saltmarsh,248,,,,,,,,,,,
Dragon Blessed,Medium,Humanoid,,Any,5,,x,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,188,,,Sahuagin Blademaster,Medium,Humanoid,Sahuagin,Lawful Evil,6,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,249,,,,,,,,,,,
Dragon Chosen,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,ø,,Fizban's Treasury of Dragons,189,,,Sahuagin Champion,Medium,Humanoid,Sahuagin,Lawful Evil,3,,,,,,,,,x,,,,,,,,x,,,Ghosts of Saltmarsh,249,,,,,,,,,,,
