Officiality,Name,Size,Type,Alignment,AC,HP,Normal,Flying,Swim,Burrow,Climb,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Skills,WRI,Senses,Languages,CR,XP,Unknown,All Environments,Arctic,Coastal,Desert,Forest,Grassland,Hills,Jungle,Mountain,Swamp,Underdark,Underwater,Urban,Additional,Source,Author
,Dread Warrior,Medium,Undead,NE,18,37,30 ft.,,,,,15,11,16,10,12,10,WIS,"Athletics, Perception","Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Undead Fortitude,Monster Manual,Wizards of the Coast
,Dretch,Small,Fiend,CE,11,18,20 ft.,,,,,11,11,12,5,8,3,-,-,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, telepathy 60",0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,Monster Manual,Wizards of the Coast
,Drider,Large,Monstrosity,CE,19,123,30 ft.,,,,climb 30 ft.,16,16,18,13,14,12,-,"Perception, Stealth",-,Darkvision 120,"Elvish, Undercommon",6,2300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fey Ancestry, Innate Spellcasting, Spider Climb, Sunlight Sensitivity, Web Walker",Monster Manual,Wizards of the Coast
,Drow,Medium,Humanoid,NE,15,13,30 ft.,,,,,10,14,10,11,11,12,-,"Perception, Stealth",-,Darkvision 120,"Elvish, Undercommon",0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Drow Arachnomancer,Medium,Humanoid,CE,15,162,30 ft.,,,,climb 30 ft.,11,17,14,19,14,16,"CON, INT, CHA","Arcana, Nature, Perception, Stealth",Poisonres,"Blindsight 10, Darkvision 120","Elvish, Undercommon, spiders",13,10000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Change Shape, Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Spider Climb, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Drow Elite Warrior,Medium,Humanoid,NE,18,71,30 ft.,,,,,13,18,14,11,13,12,"DEX, CON, WIS","Perception, Stealth",-,Darkvision 120,"Elvish, Undercommon",5,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Drow Favored Consort,Medium,Humanoid,NE,15,225,30 ft.,,,,,15,20,16,18,15,18,"DEX, CON, CHA","Acrobatics, Athletics, Perception, Stealth",-,Darkvision 120,"Elvish, Undercommon",18,20000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity, War Magic",Monster Manual,Wizards of the Coast
,Drow House Captain,Medium,Humanoid,NE,16,162,30 ft.,,,,,14,19,15,12,14,13,"DEX, CON, WIS","Perception, Stealth",-,Darkvision 120,"Elvish, Undercommon",9,5000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Battle Command, Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Drow Inquisitor,Medium,Humanoid,NE,16,143,30 ft.,,,,,11,15,14,16,21,20,"CON, WIS, CHA","Insight, Perception, Religion, Stealth",Frightenedimmu,Darkvision 120,"Elivhs, Undercommon",14,11500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Discern Lie, Fey Ancestry, Innate Spellcasting, Magic Resistance, Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Drow Mage,Medium,Humanoid,NE,12,45,30 ft.,,,,,9,14,10,17,13,12,-,"Arcana, Deception, Perception, Stealth",-,Darkvision 120,"Elvish, Undercommon",7,2900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Drow Matron Mother,Medium,Humanoid,NE,17,262,30 ft.,,,,,12,18,16,17,21,22,"CON, WIS, CHA","Insight, Perception, Religion, Stealth","Charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Elvish, Undercommon",20,25000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fey Ancestry, Innate Spellcasting, Lolth's Fickle Favor, Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Drow Priestess of Lolth,Medium,Humanoid,NE,16,71,30 ft.,,,,,10,14,12,13,17,18,"CON, WIS, CHA","Insight, Perception, Religion, Stealth",-,Darkvision 120,"Elvish, Undercommon",8,3900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Drow Shadowblade,Medium,Humanoid,NE,17,150,30 ft.,,,,,14,21,16,12,14,13,"DEX, CON, WIS","Perception, Stealth",-,Darkvision 120,"Elvish, Undercommon",11,7200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fey Ancestry, Innate Spellcasting, Shadow Step, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Druid,Medium,Humanoid,ANY,11,27,30 ft.,,,,,10,12,13,12,15,11,-,"Medicine, Nature, Perception",-,-,"Druidic, Any",2,450,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Normal Spellcasting,Out of the Abyss,Wizards of the Coast
,Dryad,Medium,Fey,N,11,22,30 ft.,,,,,1,12,11,14,15,18,-,"Perception, Stealth",-,Darkvision 60,"Elvish, Sylvan",1,200,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Innate Spellcasting, Magic Resistance, Speak with Beasts, Speak with Plants, Tree Stride",Monster Manual,Wizards of the Coast
,Duergar,Medium,Humanoid,LE,16,26,25 ft.,,,,,14,11,14,11,10,9,-,-,Poisonres,Darkvision 120,"Dwarvish, Undercommon",1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Duergar Resilience, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duergar Darkhaft,Medium,Humanoid,LE,16,26,25 ft.,,,,,14,11,14,11,10,9,-,-,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Duergar Resilience, Sunlight Sensitivity, Normal Spellcasting (Psionics)",Monster Manual,Wizards of the Coast
,Duergar Despot,Medium,Humanoid,LE,21,119,25 ft.,,,,,20,5,19,15,14,13,"CON, WIS",-,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 120,"Dwarvish, Undercommon",12,8400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Innate Spellcasting, Magic Resistance, Psychic Engine, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duergar Hammerer,Medium,Humanoid,LE,17,33,20 ft.,,,,,17,7,12,5,5,5,-,-,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Dwarvish,2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Engine of Pain, Siege Monster",Monster Manual,Wizards of the Coast
,Duergar Kavalrachni,Medium,Humanoid,LE,16,26,25 ft.,,,,,14,11,14,11,10,9,-,-,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Cavalry Training, Duergar Resilience, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duergar Keeper of the Flame,Medium,Humanoid,LE,16,26,25 ft.,,,,,14,11,14,11,10,9,-,-,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Duergar Resilience, Innate Spellcasting (Psionics), Normal Spellcasting",Monster Manual,Wizards of the Coast
,Duergar Mind Master,Medium,Humanoid,LE,14,39,25 ft.,,,,,11,17,14,15,10,12,WIS,"Perception, Stealth",Poisonres,"Darkvision 120, Truesight 30","Dwarvish, Undercommon",2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Duergar Resilience, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duergar Screamer,Medium,Construct,LE,15,38,20 ft.,,,,,18,7,12,5,5,5,-,-,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Dwarvish,3,700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Engine of Pain,Monster Manual,Wizards of the Coast
,Duergar Soulblade,Medium,Humanoid,LE,14,18,25 ft.,,,,,11,16,10,11,10,12,-,-,Poisonres,Darkvision 120,"Dwarvish, Undercommon",1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Duergar Resilience, Create Soulblade, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duergar Spy,Medium,Humanoid,LE,15,33,25 ft.,,,,,10,16,12,12,10,13,-,"Deception, Insight, Investigation, Perception, Persuasion, Sleight of Hand, Stealth",Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Cunning Action, Duergar Resilience, Sneak Attack, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duergar Stone Guard,Medium,Humanoid,LE,18,39,25 ft.,,,,,18,11,14,11,10,9,-,-,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Duergar Resilience, Phalanx Formation, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duergar Warlord,Medium,Humanoid,LE,20,75,25 ft.,,,,,18,11,17,12,12,14,-,-,Poisonres,Darkvision 120,"Dwarvish, Undercommon",6,2300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Duergar Resilience, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duergar Xarrorn,Medium,Humanoid,LE,18,26,25 ft.,,,,,16,11,14,11,10,9,-,-,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Duergar Resilience, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
,Duodrone,Medium,Construct,LN,15,11,30 ft.,,,,,11,13,12,6,10,7,-,-,-,Truesight 120,Modron,0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Axiomatic Mind, Disintegration",Mordenkainen's Tome of Foes,Wizards of the Coast
,Dust Mephit,Small,Elemental,NE,12,17,30 ft.,fly 30 ft.,,,,5,14,10,9,11,10,-,"Perception, Stealth","Fireweak, poisonimmu, poisonedimmu",Darkvision 60,"Auran, Terran",0.5,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Death Burst, Innate Spellcasting",Monster Manual,Wizards of the Coast
,Dybbuk,Medium,Fiend,CE,14,37,,fly 40 ft.,,,,6,19,16,16,15,14,-,"Deception, Intimidation, Perception","Acidres, coldres, fireres, lightiningres, thunderres, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restraindeimmu",Darkvision 120,"Abyssal, Common, telepathy 120",4,1100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Incorporeal Movement, Innate Spellcasting, Magic Resistance, Violate Corpse",Monster Manual,Wizards of the Coast
,Eagle,Small,Beast,U,12,3,10 ft.,fly 60 ft.,,,,6,15,10,2,14,7,-,Perception,-,-,-,0,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Keen Sight,Mordenkainen's Tome of Foes,Wizards of the Coast
,Earth Elemental,Large,Elemental,N,17,126,30 ft.,,,,climb 30 ft.,20,8,20,5,10,5,-,-,"Thunderweak, nonmagicalres, poisonimmu, exhaustionimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, unconsciousimmu","Darkvision 60, Tremorsense 60",Terran,5,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Earth Glide, Siege Monster",Monster Manual,Wizards of the Coast
,Earth Elemental Myrmidon,Medium,Elemental,N,18,127,30 ft.,,,,,18,10,17,8,10,10,-,-,"Nonmagicalres, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Terran, Any",7,2900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Magic Weapons,Monster Manual,Wizards of the Coast
,Eblis,Large,Monstrosity,NE,13,26,30 ft.,fly 40 ft.,,,,11,16,12,12,14,11,-,-,-,-,"Auran, Common",1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Innate Spellcasting,Monster Manual,Wizards of the Coast
,Efreeti,Large,Elemental,LE,17,200,40 ft.,fly 60 ft.,,,,22,12,24,16,15,16,"INT, WIS, CHA",-,Fireimmu,Darkvision 120,Ignan,11,7200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Elemental Demise, Innate Spellcasting",Monster Manual,Wizards of the Coast
,Eidolon,Medium,Undead,ANY,9,63,,fly 40 ft.,,,,7,8,9,14,19,16,WIS,Perception,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,12,8400,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Incorporeal Movement, Sacred Animation, Turn Resistance",Monster Manual,Wizards of the Coast
,Elder Brain,Large,Aberration,LE,10,210," 5 ft.",,swim 10 ft.,,,15,10,20,21,19,24,"INT, WIS, CHA","Arcana, Deception, Insight, Intimidation, Persuasion",-,Blindsight 120,"Common, Deep SPeech, Undercommon, telepathy 5 miles",14,11500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Creature Sense, Innate Spellcasting (Psionics), Lair, Legendary Resistance, magic Resistance, Telepathic Hub",Monster Manual,Wizards of the Coast
,Elder Oblex,Huge,Ooze,LE,16,115,20 ft.,,,,,15,16,21,22,13,18,"INT, CHA","Arcana, Deception, History, Nature, Perception, Religion","Blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, proneimmu",Blindsight 60,"Common, Any",10,5900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amorphous, Aversion to Fire, Innate Spellcasting, Sulfurous Impersonation",Princes of the Apocalypse,Wizards of the Coast
,Elder Tempest,Gargantuan,Elemental,N,19,264,,fly 120 ft.,,,,23,28,23,2,21,18,"WIS, CHA",-,"Nonmagicalres, lightningimmu, poisonimmu, thunderimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu",Darkvision 60,-,23,50000,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Air Form, Flyby, Legendary, Living Storm, Siege Monster",Monster Manual,Wizards of the Coast
,Elephant,Huge,Beast,U,12,76,40 ft.,,,,,22,9,17,3,11,6,-,-,-,-,-,4,1100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Trampling Charge,Mordenkainen's Tome of Foes,Wizards of the Coast
,Elk,Large,Beast,U,10,13,50 ft.,,,,,16,10,12,2,10,6,-,-,-,-,-,0.25,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Charge,Mordenkainen's Tome of Foes,Wizards of the Coast
,Empyrean,Huge,Celestial,CG OR NE,22,313,50 ft.,fly 50 ft.,swim 50 ft.,,,30,21,30,21,22,27,"STR, INT, WIS, CHA","Insight, Persuasion",Nonmagicalimmu,Truesight 120,All,23,50000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons",Monster Manual,Wizards of the Coast
,Enchanter,Medium,Humanoid,ANY,12,40,30 ft.,,,,,9,14,11,17,12,11,"INT, WIS","Arcana, History",-,-,Any,5,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal SPellcasting,Out of the Abyss,Wizards of the Coast
,Erinyes,Medium,Fiend,LE,18,153,30 ft.,fly 60 ft.,,,,18,16,18,14,14,18,"DEX, CON, WIS, CHA",-,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Truesight 120,"Infernal, telepathy 120",12,8400,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Hellish Weapons, Magic Resistance",Monster Manual,Wizards of the Coast
,Eternal Flame Guardian,Medium,Humanoid,CE,17,45,30 ft.,,,,,15,13,14,8,11,13,-,"Intimidation, Perception",Fireres,-,Common,2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Flaming Weapon,Monster Manual,Wizards of the Coast
,Eternal Flame Priest,Medium,Humanoid,NE,12,52,30 ft.,,,,,12,15,14,10,11,16,-,"Deception, Intimidation, Religion",Fireres,-,"Common, Ignan",3,700,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal Spellcasting,Monster Manual,Wizards of the Coast
,Ettercap,Medium,Monstrosity,NE,13,44,30 ft.,,,,climb 30 ft.,14,15,13,7,12,8,-,"Perception, Stealth, Survival",-,Darkvision 60,-,2,450,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Spider Climb, Web Sense, Web Walker",Monster Manual,Wizards of the Coast
,Ettin,Large,Giant,CE,12,85,40 ft.,,,,,21,8,17,6,10,8,-,Perception,-,Darkvision 60,"Giant, Orc",4,1100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Two Heads, Wakeful",Monster Manual,Wizards of the Coast
,Evoker,Medium,Humanoid,ANY,12,66,30 ft.,,,,,9,14,12,17,12,11,"INT, WIS","Arcana, History",-,-,Any,9,5000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Normal Spellcasting, Sculpt Spells",Out of the Abyss,Wizards of the Coast
,Faerie Dragon,Tiny,Dragon,CG,15,14,10 ft.,fly 60 ft.,,,,3,20,13,14,12,16,-,"Arcana, Perception, Stealth",-,Darkvision 60,"Draconic, Sylvan",1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Superior Invisibility, Limited Telepathy, Magic Resistance, Innate Spellcasting",Monster Manual,Wizards of the Coast
,Fathomer,Medium,Humanoid,NE,10,52,30 ft.,,,,,14,11,14,11,11,15,-,"Arcana, Perception, Stealth",-,-,"Aquan, Common",2,450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Shapechanger, Olhydra's Armor, Normal Spellcasting",Monster Manual,Wizards of the Coast
,Feathergale Knight,Medium,Humanoid,LE,16,33,30 ft.,,,,,14,14,12,11,10,14,-,"Animal Handling, History",-,-,"Auran, Common",1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Normal Spellcasting,Monster Manual,Wizards of the Coast
,Female Steeder,Large,Monstrosity,U,14,30,30 ft.,,,,climb 30 ft.,15,16,14,2,10,3,-,"Perception, Stealth",-,Darkvision 120,-,1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Spider Climb, Extraordinary Leap",Volo's Guide to Monsters,Wizards of the Coast
,Fire Elemental,Large,Elemental,N,13,102,50 ft.,,,,,10,17,16,6,10,7,-,-,"Nonmagicalres, fireimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Ignan,5,1800,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fire Form, Illumination, Water Susceptibility",Monster Manual,Wizards of the Coast
,Fire Elemental Myrmidon,Medium,Elemental,N,18,123,40 ft.,,,,,13,18,15,9,10,10,-,-,"Nonmagicalres, fireimmu, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Ignan, Any",7,2900,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Illumination, Magic Weapons, Water Susceptibility",Monster Manual,Wizards of the Coast
,Fire Giant,Huge,Giant,LE,18,162,30 ft.,,,,,25,9,23,10,14,13,"DEX, CON, CHA","Athletics, Perception",Fireimmu,-,Giant,9,5000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,Monster Manual,Wizards of the Coast
,Fire Giant Dreadnought,Huge,Giant,LE,21,187,30 ft.,,,,,27,9,23,8,10,11,"DEX, CON, CHA","Athletics, Perception",Fireimmu,-,Giant,14,11500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dual Shields,Monster Manual,Wizards of the Coast
,Fire Snake,Medium,Elemental,NE,14,22,30 ft.,,,,,12,14,11,7,10,8,-,-,"Coldweak, nonmagicalres, fireimmu",Darkvision 60,Ignan,1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Heated Body, Heated Weapons",Tomb of Annihilation,Wizards of the Coast
,Firenewt Warlock of Imix,Medium,Humanoid,NE,10,33,30 ft.,,,,,13,11,12,9,11,14,-,-,Fireimmu,Darkvision 120,"Draconic, Ignan",1,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amphibious, Innate Spellcasting, Normal Spellcasting, Imix's Blessing",Monster Manual,Wizards of the Coast
,Firenewt Warrior,Medium,Humanoid,NE,16,22,30 ft.,,,,,10,13,12,7,11,8,-,-,Fireimmu,-,"Draconic, Ignan",0.5,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amphibious,Monster Manual,Wizards of the Coast
,Flail Snail,Large,Elemental,U,16,52,10 ft.,,,,,17,5,20,3,10,5,-,-,"Fireimmu, poisonimmu, poisonedimmu","Darkvision 60, Tremorsense 60",-,3,700,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Antimagic Shell, Flail Tentacles",Monster Manual,Wizards of the Coast
,Flameskull,Tiny,Undead,NE,13,40,,fly 40 ft.,,,,1,17,14,16,10,11,-,"Arcana, Perception","Lightningres, necroticres, piercingres, coldimmu, fireimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,Common,4,1100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Illumination, Magic Resistance, Rejuvenation, Normal Spellcasting",Monster Manual,Wizards of the Coast
,Flamewrath,Medium,Humanoid,CE,12,105,30 ft.,,,,,10,14,16,11,10,16,-,"Arcana, Religion",Fireimmu,-,"Common, Ignan",6,2300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Normal Spellcasting, Wreathed in Flame",Monster Manual,Wizards of the Coast
